,cow_id,breed_event_id,first_recheck_DSLB,resolution_DSLB,days_to_resolution,samples_to_resolution,final_status
267,13544.0401430.0,13544.0401430.0_2022_10_1,35,35,0,1,rc_open
268,13557.0401430.0,13557.0401430.0_2022_8_3,43,43,0,3,rc_preg
269,13593.0401430.0,13593.0401430.0_2023_10_4,40,40,0,2,rc_preg
270,13599.0401430.0,13599.0401430.0_2023_7_3,41,41,0,6,rc_preg
271,13604.0401430.0,13604.0401430.0_2023_3_2,36,36,0,1,rc_open
272,13606.0401430.0,13606.0401430.0_2022_7_1,38,38,0,2,rc_open
273,13606.0401430.0,13606.0401430.0_2023_7_3,37,37,0,2,rc_loss
274,1364.0401430.0,1364.0401430.0_2022_5_2,37,37,0,2,rc_open
275,13642.0401430.0,13642.0401430.0_2022_5_1,35,35,0,2,rc_open
276,1365.0401430.0,1365.0401430.0_2022_3_1,28,28,0,4,rc_preg
277,13652.0401430.0,13652.0401430.0_2025_3_3,40,40,0,2,rc_open
278,13672.0401430.0,13672.0401430.0_2022_7_1,37,37,0,2,rc_open
279,13707.0401430.0,13707.0401430.0_2023_4_2,36,36,0,2,rc_loss
280,13711.0401430.0,13711.0401430.0_2022_11_3,43,43,0,1,rc_open
281,13724.0401430.0,13724.0401430.0_2023_8_3,36,36,0,2,rc_open
282,13729.0401430.0,13729.0401430.0_2023_5_2,36,36,0,1,rc_open
283,13733.0401430.0,13733.0401430.0_2022_10_1,35,35,0,1,rc_open
284,13736.0401430.0,13736.0401430.0_2023_5_2,35,35,0,1,rc_open
285,13775.0401430.0,13775.0401430.0_2022_5_1,42,42,0,2,rc_open
286,13786.0401430.0,13786.0401430.0_2024_8_3,36,36,0,3,rc_loss
287,13792.0401430.0,13792.0401430.0_2022_5_1,37,37,0,1,rc_open
288,13802.0401430.0,13802.0401430.0_2023_5_2,36,36,0,2,rc_open
289,13806.0401430.0,13806.0401430.0_2022_5_1,35,35,0,2,rc_open
290,13816.0401430.0,13816.0401430.0_2022_11_2,38,38,0,4,rc_open
291,13817.0401430.0,13817.0401430.0_2022_6_1,35,35,0,2,rc_open
292,13817.0401430.0,13817.0401430.0_2023_7_3,37,37,0,1,rc_open
293,13828.0401430.0,13828.0401430.0_2023_8_2,36,36,0,1,rc_open
294,13832.0401430.0,13832.0401430.0_2025_5_3,36,36,0,2,rc_loss
295,13844.0401430.0,13844.0401430.0_2023_8_4,36,36,0,3,rc_open
296,13863.0401430.0,13863.0401430.0_2025_1_4,35,35,0,2,rc_open
297,13884.0401430.0,13884.0401430.0_2022_6_1,36,36,0,2,rc_open
298,13896.0401430.0,13896.0401430.0_2022_6_1,35,35,0,2,rc_open
299,13923.0401430.0,13923.0401430.0_2022_7_1,41,41,0,5,rc_preg
300,13924.0401430.0,13924.0401430.0_2023_9_2,37,37,0,2,rc_open
301,13956.0401430.0,13956.0401430.0_2023_11_3,36,36,0,2,rc_preg
302,13957.0401430.0,13957.0401430.0_2023_9_3,41,41,0,2,rc_open
303,13964.0401430.0,13964.0401430.0_2022_6_1,42,42,0,3,rc_preg
304,13968.0401430.0,13968.0401430.0_2022_6_1,35,35,0,1,rc_open
305,13968.0401430.0,13968.0401430.0_2022_7_2,41,41,0,1,rc_open
306,14016.0401430.0,14016.0401430.0_2022_10_2,36,36,0,1,rc_open
307,14016.0401430.0,14016.0401430.0_2022_8_1,36,36,0,2,rc_open
308,14046.0401430.0,14046.0401430.0_2022_7_1,35,35,0,5,rc_loss
309,14047.0401430.0,14047.0401430.0_2023_9_3,38,38,0,3,rc_preg
310,14049.0401430.0,14049.0401430.0_2022_12_3,35,35,0,2,rc_open
311,14049.0401430.0,14049.0401430.0_2023_5_6,36,36,0,3,rc_open
312,14057.0401430.0,14057.0401430.0_2023_10_4,36,36,0,2,rc_open
313,14059.0401430.0,14059.0401430.0_2022_7_1,38,38,0,4,rc_preg
314,1408.0401430.0,1408.0401430.0_2021_11_1,70,70,0,2,rc_preg
315,14088.0401430.0,14088.0401430.0_2022_9_1,35,35,0,1,rc_open
316,14091.0401430.0,14091.0401430.0_2025_6_4,36,36,0,2,rc_open
317,14092.0401430.0,14092.0401430.0_2023_9_2,41,41,0,1,rc_open
318,14093.0401430.0,14093.0401430.0_2024_12_4,35,35,0,2,rc_open
319,14095.0401430.0,14095.0401430.0_2025_7_5,38,38,0,6,rc_preg
320,14104.0401430.0,14104.0401430.0_2023_4_2,36,36,0,2,rc_open
321,14104.0401430.0,14104.0401430.0_2023_7_3,37,37,0,3,rc_preg
322,14144.0401430.0,14144.0401430.0_2023_11_4,36,36,0,2,rc_open
323,14153.0401430.0,14153.0401430.0_2023_8_2,41,41,0,6,rc_preg
324,14160.0401430.0,14160.0401430.0_2023_10_3,37,37,0,2,rc_preg
325,14168.0401430.0,14168.0401430.0_2022_10_2,35,35,0,2,rc_open
326,14168.0401430.0,14168.0401430.0_2022_7_1,35,35,0,5,rc_open
327,14171.0401430.0,14171.0401430.0_2023_8_2,36,36,0,2,rc_open
328,14179.0401430.0,14179.0401430.0_2023_8_2,38,38,0,1,rc_open
329,14187.0401430.0,14187.0401430.0_2022_7_1,35,35,0,2,rc_open
330,14196.0401430.0,14196.0401430.0_2023_7_2,43,43,0,4,rc_open
331,14196.0401430.0,14196.0401430.0_2024_10_4,37,37,0,1,rc_open
332,14198.0401430.0,14198.0401430.0_2023_6_2,36,36,0,2,rc_open
333,14202.0401430.0,14202.0401430.0_2023_9_2,40,40,0,1,rc_open
334,14207.0401430.0,14207.0401430.0_2024_6_3,78,78,0,2,rc_open
335,14218.0401430.0,14218.0401430.0_2023_7_2,36,36,0,2,rc_open
336,14223.0401430.0,14223.0401430.0_2022_8_1,36,36,0,2,rc_open
337,14234.0401430.0,14234.0401430.0_2023_8_2,40,40,0,1,rc_open
338,14247.0401430.0,14247.0401430.0_2023_10_3,40,40,0,2,rc_preg
339,14261.0401430.0,14261.0401430.0_2024_11_4,40,40,0,2,rc_open
340,14263.0401430.0,14263.0401430.0_2025_1_5,36,36,0,1,rc_open
341,14272.0401430.0,14272.0401430.0_2022_8_1,36,36,0,2,rc_open
342,14276.0401430.0,14276.0401430.0_2023_8_2,40,40,0,2,rc_open
343,14288.0401430.0,14288.0401430.0_2025_1_3,40,40,0,2,rc_open
344,14290.0401430.0,14290.0401430.0_2023_10_2,36,36,0,3,rc_preg
345,14310.0401430.0,14310.0401430.0_2022_10_1,35,35,0,2,rc_open
346,14355.0401430.0,14355.0401430.0_2023_10_2,40,40,0,3,rc_preg
347,14360.0401430.0,14360.0401430.0_2023_9_2,36,36,0,2,rc_open
348,1438.0392159.0,1438.0392159.0_2025_2_3,36,36,0,1,rc_open
349,14383.0401430.0,14383.0401430.0_2022_10_1,39,39,0,3,rc_preg
350,14389.0401430.0,14389.0401430.0_2022_9_1,38,38,0,3,rc_preg
351,14399.0401430.0,14399.0401430.0_2023_2_2,38,38,0,5,rc_open
352,14429.0401430.0,14429.0401430.0_2025_6_4,40,40,0,2,rc_open
353,14429.0401430.0,14429.0401430.0_2025_7_5,36,36,0,4,rc_preg
354,14436.0401430.0,14436.0401430.0_2023_8_2,38,38,0,1,rc_open
355,14445.0401430.0,14445.0401430.0_2022_12_2,36,36,0,3,rc_open
356,14445.0401430.0,14445.0401430.0_2022_9_1,36,36,0,2,rc_open
357,1448.0401430.0,1448.0401430.0_2023_6_4,38,38,0,1,rc_open
358,14482.0401430.0,14482.0401430.0_2022_12_1,36,36,0,1,rc_open
359,14497.0401430.0,14497.0401430.0_2022_12_1,37,37,0,7,rc_loss
360,14499.0401430.0,14499.0401430.0_2023_5_3,40,40,0,2,rc_open
361,14512.0401430.0,14512.0401430.0_2023_10_2,37,37,0,3,rc_preg
362,14518.0401430.0,14518.0401430.0_2023_2_1,35,35,0,2,rc_open
363,14518.0401430.0,14518.0401430.0_2025_8_4,35,35,0,2,rc_open
364,14529.0401430.0,14529.0401430.0_2023_9_2,36,36,0,1,rc_open
365,14529.0401430.0,14529.0401430.0_2024_10_4,36,36,0,1,rc_open
366,14532.0401430.0,14532.0401430.0_2023_10_2,36,36,0,2,rc_preg
367,14537.0401430.0,14537.0401430.0_2023_5_3,40,40,0,2,rc_open
368,14538.0401430.0,14538.0401430.0_2022_9_1,36,36,0,4,rc_open
369,14541.0401430.0,14541.0401430.0_2024_12_2,35,35,0,1,rc_open
370,14547.0401430.0,14547.0401430.0_2023_7_2,37,37,0,2,rc_open
371,14554.0401430.0,14554.0401430.0_2023_10_2,35,35,0,2,rc_preg
372,14602.0401430.0,14602.0401430.0_2023_6_3,39,39,0,1,rc_open
373,14605.0401430.0,14605.0401430.0_2022_10_1,35,35,0,2,rc_open
374,14612.0401430.0,14612.0401430.0_2025_2_4,37,37,0,3,rc_preg
375,14617.0401430.0,14617.0401430.0_2023_1_2,38,38,0,2,rc_open
376,14632.0401430.0,14632.0401430.0_2022_12_1,36,36,0,2,rc_open
377,14650.0401430.0,14650.0401430.0_2022_12_1,36,36,0,3,rc_open
378,14657.0401430.0,14657.0401430.0_2022_11_1,43,43,0,3,rc_loss
379,14659.0401430.0,14659.0401430.0_2023_2_2,43,43,0,5,rc_preg
380,14666.0401430.0,14666.0401430.0_2023_9_2,36,36,0,3,rc_loss
381,14673.0401430.0,14673.0401430.0_2023_10_2,36,36,0,2,rc_preg
382,14678.0401430.0,14678.0401430.0_2023_9_2,36,36,0,1,rc_open
383,14689.0401430.0,14689.0401430.0_2022_10_1,35,35,0,2,rc_open
384,14751.0401430.0,14751.0401430.0_2025_3_2,36,36,0,1,rc_open
385,14752.0401430.0,14752.0401430.0_2023_11_2,39,39,0,2,rc_preg
386,14778.0401430.0,14778.0401430.0_2022_8_1,41,41,0,1,rc_open
387,14794.0401430.0,14794.0401430.0_2023_9_2,36,36,0,2,rc_open
388,14811.0401430.0,14811.0401430.0_2022_10_1,41,41,0,4,rc_preg
389,14847.0401430.0,14847.0401430.0_2023_5_4,40,40,0,4,rc_open
390,14849.0401430.0,14849.0401430.0_2022_10_1,35,35,0,1,rc_open
